Date,Type,Description,MoneyIn,MoneyOut,MyTransactionType,LikelyClaimable,Reason
01/04/2026 00:00:00,DD,GOLDING HOMES LTD  0018798,0,594.92,Household,Yes,golding homes
01/04/2026 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
01/04/2026 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
01/04/2026 00:00:00,DD,TV LICENCE MBP     1296762875,0,14.95,Household,Yes,tv licence
02/03/2026 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
02/03/2026 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
02/03/2026 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
02/03/2026 00:00:00,DD,TV LICENCE MBP     1296762875,0,9.75,Household,Yes,tv licence
02/02/2026 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
02/02/2026 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
02/02/2026 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
02/02/2026 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
07/01/2026 00:00:00,DD,MAIDSTONE BOROUGH  0000010882513,0,183,Household,Yes,maidstone
02/01/2026 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
02/01/2026 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
02/01/2026 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
02/01/2026 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
08/12/2025 00:00:00,DD,MAIDSTONE BOROUGH  0000010882513,0,183,Household,Yes,maidstone
01/12/2025 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
01/12/2025 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
01/12/2025 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
01/12/2025 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
07/11/2025 00:00:00,DD,MAIDSTONE BOROUGH  0000010882513,0,183,Household,Yes,maidstone
03/11/2025 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
03/11/2025 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
03/11/2025 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
03/11/2025 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
30/10/2025 00:00:00,PURCHASE,MAIDSTONE BC,0,42,Household,Yes,maidstone
07/10/2025 00:00:00,DD,MAIDSTONE BOROUGH  0000010882513,0,183,Household,Yes,maidstone
01/10/2025 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
01/10/2025 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
01/10/2025 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
01/10/2025 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
08/09/2025 00:00:00,DD,MAIDSTONEBC        0000010882513,0,183,Household,Yes,maidstone
01/09/2025 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
01/09/2025 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
01/09/2025 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
01/09/2025 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
07/08/2025 00:00:00,DD,MAIDSTONEBC        0000010882513,0,183,Household,Yes,maidstone
01/08/2025 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
01/08/2025 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
01/08/2025 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
01/08/2025 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
07/07/2025 00:00:00,DD,MAIDSTONEBC        0000010882513,0,183,Household,Yes,maidstone
01/07/2025 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
01/07/2025 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
01/07/2025 00:00:00,DD,SOUTH EAST  WATER  104445908,0,75,Household,Yes,water
01/07/2025 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
24/06/2025 00:00:00,PURCHASE,AA HOME INSURANCE,0,75.96,Household,Yes,insur
09/06/2025 00:00:00,DD,MAIDSTONEBC        0000010882513,0,183,Household,Yes,maidstone
02/06/2025 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
02/06/2025 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
02/06/2025 00:00:00,DD,SOUTH EAST  WATER  104445908,0,64,Household,Yes,water
02/06/2025 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
07/05/2025 00:00:00,DD,MAIDSTONEBC        0000010882513,0,183,Household,Yes,maidstone
01/05/2025 00:00:00,DD,GOLDING HOMES LTD  0018798,0,566.97,Household,Yes,golding homes
01/05/2025 00:00:00,DD,OCTOPUS ENERGY     A-E9AB9709-001,0,139.47,Household,Yes,energy
01/05/2025 00:00:00,DD,SOUTH EAST  WATER  104445908,0,64,Household,Yes,water
01/05/2025 00:00:00,DD,TV LICENCE MBP     1296762875,0,15,Household,Yes,tv licence
07/04/2025 00:00:00,DD,MAIDSTONEBC        0000010882513,0,186.91,Household,Yes,maidstone
